Month,Distribution channel,Region,Division,Type of product,Total volume,Free of charge (Volume),Sales return volume,Actual sales volume,Sales amount
2024-10-01,MT,North,Television,Small size,123.0,0.0,0.0,123.0,0.489733632
2024-10-01,MT,North,Television,Large size,112.0,0.0,1.0,110.0,0.733767251
2024-10-01,MT,North,Refrigerator,Multi doors,29.0,0.0,0.0,29.0,0.306357091
2024-10-01,MT,North,Refrigerator,Side by Side,151.0,0.0,4.0,143.0,1.425315157
2024-10-01,MT,South,RAC,Non Inverter,17.0,0.0,0.0,17.0,0.198779453
2024-10-01,MT,South,RAC,Inverter,4448.0,0.0,17.0,4414.0,27.785610967
2024-10-01,MT,South,Washing Machine,Dryer Machine,178.0,0.0,0.0,178.0,0.839098
2024-10-01,MT,South,Washing Machine,Front load,546.0,0.0,2.0,542.0,2.629962945
2024-10-01,MT,South,Washing Machine,Dryer Machine,22.0,0.0,0.0,22.0,0.14449382
2024-10-01,MT,South,Washing Machine,Top load,1948.0,0.0,0.0,1948.0,6.202937034
2024-10-01,MT,South,Television,Small size,356.0,0.0,0.0,356.0,1.488644473
2024-10-01,MT,South,Television,Large size,99.0,0.0,3.0,93.0,0.472410446
2024-10-01,MT,South,Refrigerator,Top freezer,1.0,0.0,1.0,-1.0,-0.00702
2024-10-01,MT,South,Refrigerator,Multi doors,131.0,0.0,0.0,131.0,1.412686185
2024-10-01,MT,South,Refrigerator,Side by Side,351.0,0.0,0.0,351.0,3.162574679
2024-10-01,MT,Middle,RAC,Non Inverter,2.0,0.0,0.0,2.0,0.023385818
2024-10-01,MT,Middle,RAC,Inverter,321.0,0.0,1.0,319.0,1.742601473
2024-10-01,MT,Middle,Washing Machine,Dryer Machine,31.0,0.0,0.0,31.0,0.139948
2024-10-01,MT,Middle,Washing Machine,Front load,45.0,0.0,0.0,45.0,0.211706624
2024-10-01,MT,Middle,Washing Machine,Dryer Machine,2.0,0.0,0.0,2.0,0.013076364
2024-10-01,MT,Middle,Washing Machine,Top load,91.0,0.0,0.0,91.0,0.300358187
2024-10-01,MT,Middle,Television,Small size,32.0,0.0,0.0,32.0,0.140891461
2024-10-01,MT,Middle,Television,Large size,9.0,0.0,0.0,9.0,0.048386364
2024-10-01,MT,Middle,Refrigerator,Multi doors,15.0,0.0,0.0,15.0,0.157840001
2024-10-01,MT,Middle,Refrigerator,Side by Side,41.0,0.0,0.0,41.0,0.410011277
2024-10-01,Retail,North,RAC,Non Inverter,5.0,0.0,0.0,2.0,0.026337274
2024-10-01,Retail,North,RAC,Inverter,63.0,1.0,0.0,26.0,0.332927179
2024-10-01,Retail,North,Others,Air purifier,17.0,5.0,0.0,1.0,0.019986365
2024-10-01,Retail,North,Washing Machine,Dryer Machine,2.0,0.0,0.0,1.0,0.0083
2024-10-01,Retail,North,Washing Machine,Front load,8.0,0.0,0.0,6.0,0.042199998
2024-10-01,Retail,North,Washing Machine,Dryer Machine,1.0,0.0,0.0,0.0,0.0059
2024-10-01,Retail,North,Washing Machine,Top load,23.0,0.0,0.0,0.0,0.07215464
2024-10-01,Retail,North,Television,Small size,46.0,0.0,0.0,39.0,0.181863642
2024-10-01,Retail,North,Television,Large size,1.0,0.0,0.0,1.0,0.005790909
2024-10-01,Retail,North,Refrigerator,Multi doors,2.0,0.0,0.0,1.0,0.0181
2024-10-01,Retail,North,Refrigerator,Side by Side,8.0,0.0,0.0,1.0,0.071081817
2024-10-01,Retail,South,RAC,Non Inverter,13.0,0.0,0.0,13.0,0.030460184
2024-10-01,Retail,South,RAC,Inverter,19.0,0.0,0.0,18.0,0.097381819
2024-10-01,Retail,South,Others,Air purifier,5.0,0.0,0.0,3.0,0.008136362
2024-10-01,Retail,South,Washing Machine,Front load,8.0,0.0,0.0,8.0,0.026182
2024-10-01,Retail,South,Washing Machine,Dryer Machine,1.0,0.0,0.0,1.0,0.0059
2024-10-01,Retail,South,Washing Machine,Top load,25.0,0.0,0.0,24.0,0.077992636
2024-10-01,Retail,South,Television,Small size,4.0,0.0,0.0,3.0,0.017381818
2024-10-01,Retail,South,Television,Large size,1.0,0.0,0.0,1.0,0.0059
2024-10-01,Retail,South,Refrigerator,Top freezer,3.0,0.0,0.0,3.0,0.008973273
2024-10-01,Retail,South,Refrigerator,Multi doors,9.0,0.0,0.0,9.0,0.037927908
2024-10-01,Retail,South,Refrigerator,Side by Side,15.0,0.0,0.0,14.0,0.080742998
2024-10-01,Retail,Middle,RAC,Non Inverter,1.0,0.0,0.0,1.0,0.001281818
2024-10-01,Retail,Middle,Others,Air purifier,3.0,0.0,0.0,3.0,0.002036363
2024-10-01,Retail,Middle,Others,Cooker,1.0,0.0,0.0,1.0,0.000436364
2024-10-01,Retail,Middle,Others,Cooker,1.0,0.0,0.0,1.0,0.000290909
2024-10-01,Retail,Middle,Washing Machine,Front load,2.0,0.0,0.0,2.0,0.004363637
2024-10-01,Retail,Middle,Washing Machine,Top load,2.0,0.0,0.0,2.0,0.002818182
2024-10-01,Retail,Middle,Television,Large size,6.0,0.0,0.0,6.0,0.010536363
2024-10-01,Retail,Middle,Refrigerator,Bottom freezer,1.0,0.0,0.0,1.0,0.001069091
2024-10-01,Retail,Middle,Refrigerator,Top freezer,1.0,0.0,0.0,1.0,0.001163636
2024-10-01,Retail,Middle,Refrigerator,Multi doors,1.0,0.0,0.0,1.0,0.003636364
2024-10-01,Retail,Middle,Refrigerator,Side by Side,1.0,0.0,0.0,1.0,0.002545455
2024-09-01,GT,North,CAC,Others,283.0,10.0,0.0,273.0,5.684227296
2024-09-01,GT,North,RAC,Non Inverter,1409.0,0.0,1.0,1108.0,7.442136303
2024-09-01,GT,North,RAC,Inverter,10111.0,571.0,111.0,9379.0,51.594273546
2024-09-01,GT,North,Washing Machine,Dryer Machine,165.0,0.0,0.0,165.0,0.667500075
2024-09-01,GT,North,Washing Machine,Front load,780.0,0.0,0.0,780.0,3.734409083
2024-09-01,GT,North,Washing Machine,Dryer Machine,45.0,0.0,0.0,45.0,0.24136362
2024-09-01,GT,North,Washing Machine,Top load,734.0,100.0,0.0,634.0,2.045272706
2024-09-01,GT,North,Television,Small size,1131.0,0.0,0.0,1131.0,3.704772455
2024-09-01,GT,North,Television,Large size,70.0,0.0,0.0,70.0,0.42
2024-09-01,GT,North,Refrigerator,Multi doors,20.0,0.0,0.0,20.0,0.1609091
2024-09-01,GT,North,Refrigerator,Side by Side,100.0,0.0,0.0,100.0,0.73545456
2024-09-01,GT,South,CAC,Others,118.0,34.0,0.0,84.0,1.852045462
2024-09-01,GT,South,RAC,Non Inverter,90.0,0.0,0.0,90.0,0.49999999
2024-09-01,GT,South,RAC,Inverter,3029.0,0.0,0.0,3029.0,15.827408855
2024-09-01,GT,South,Others,Water Heater,17.0,0.0,0.0,17.0,0.007572735
2024-09-01,GT,South,Washing Machine,Dryer Machine,40.0,0.0,0.0,40.0,0.1618182
2024-09-01,GT,South,Washing Machine,Front load,395.0,0.0,1.0,394.0,1.668409055
2024-09-01,GT,South,Washing Machine,Top load,850.0,0.0,0.0,850.0,2.333863495
2024-09-01,GT,South,Television,Small size,820.0,0.0,0.0,820.0,3.194318265
2024-09-01,GT,South,Television,Large size,410.0,0.0,0.0,410.0,2.46
2024-09-01,GT,South,Refrigerator,Bottom freezer,5.0,0.0,0.0,5.0,0.015272725
2024-09-01,GT,South,Refrigerator,Top freezer,5.0,0.0,0.0,5.0,0.011454544
2024-09-01,GT,South,Refrigerator,Multi doors,102.0,0.0,0.0,102.0,0.82063641
2024-09-01,GT,South,Refrigerator,Side by Side,173.0,0.0,0.0,173.0,1.304409084
2024-09-01,GT,Middle,CAC,Others,158.0,0.0,0.0,158.0,3.377090915
2024-09-01,GT,Middle,RAC,Inverter,1160.0,0.0,0.0,1160.0,5.509545505
2024-09-01,GT,Middle,Washing Machine,Dryer Machine,10.0,0.0,0.0,10.0,0.04045455
2024-09-01,GT,Middle,Washing Machine,Front load,10.0,0.0,198.0,-198.0,-1.071000018
2024-09-01,GT,Middle,Washing Machine,Dryer Machine,20.0,0.0,0.0,20.0,0.10727272
2024-09-01,GT,Middle,Washing Machine,Top load,25.0,0.0,199.0,-174.0,-0.696954578
2024-09-01,GT,Middle,Television,Small size,194.0,0.0,0.0,194.0,0.88181827
2024-09-01,GT,Middle,Television,Large size,35.0,0.0,0.0,35.0,0.196181813
2024-09-01,GT,Middle,Refrigerator,Multi doors,3.0,0.0,1.0,2.0,0.012500001
2024-09-01,GT,Middle,Refrigerator,Side by Side,2.0,0.0,0.0,2.0,0.014454546
2024-09-01,MT,North,CAC,Others,1.0,0.0,0.0,1.0,0.0126
2024-09-01,MT,North,RAC,Non Inverter,9.0,0.0,0.0,9.0,0.105236181
2024-09-01,MT,North,RAC,Inverter,1315.0,0.0,13.0,1302.0,8.862505441
2024-09-01,MT,North,Washing Machine,Dryer Machine,148.0,0.0,1.0,147.0,0.690182
2024-09-01,MT,North,Washing Machine,Front load,744.0,0.0,11.0,733.0,3.165106211
2024-09-01,MT,North,Washing Machine,Dryer Machine,167.0,0.0,0.0,167.0,1.105361349
2024-09-01,MT,North,Washing Machine,Top load,356.0,0.0,0.0,356.0,1.114589236
2024-09-01,MT,North,Television,Small size,41.0,0.0,0.0,41.0,0.157738188
2024-09-01,MT,North,Television,Large size,117.0,0.0,0.0,117.0,0.68181093
2024-09-01,MT,North,Refrigerator,Bottom freezer,117.0,0.0,1.0,-1.0,-0.004181818
2024-09-01,MT,North,Refrigerator,Multi doors,11.0,0.0,0.0,11.0,0.085448183
2024-09-01,MT,North,Refrigerator,Side by Side,26.0,0.0,0.0,26.0,0.267507454
2024-09-01,MT,South,RAC,Non Inverter,6.0,0.0,0.0,6.0,0.070157454
2024-09-01,MT,South,RAC,Inverter,3307.0,0.0,4.0,3303.0,20.846152741
2024-09-01,MT,South,Washing Machine,Dryer Machine,123.0,0.0,0.0,123.0,0.566282
2024-09-01,MT,South,Washing Machine,Front load,396.0,0.0,0.0,396.0,1.750502034
2024-09-01,MT,South,Washing Machine,Dryer Machine,4.0,0.0,0.0,4.0,0.026152728
2024-09-01,MT,South,Washing Machine,Top load,991.0,0.0,0.0,991.0,3.049587925
2024-09-01,MT,South,Television,Small size,33.0,0.0,0.0,33.0,0.143760012
2024-09-01,MT,South,Television,Large size,33.0,0.0,3.0,-3.0,-0.022458545
2024-09-01,MT,South,Refrigerator,Multi doors,28.0,0.0,0.0,28.0,0.268637092
2024-09-01,MT,South,Refrigerator,Side by Side,317.0,0.0,0.0,317.0,3.23019329
2024-09-01,MT,Middle,CAC,Others,8.0,0.0,0.0,8.0,0.168960002
2024-09-01,MT,Middle,RAC,Inverter,551.0,0.0,4.0,547.0,3.267130467
2024-09-01,MT,Middle,Washing Machine,Dryer Machine,30.0,0.0,0.0,30.0,0.139004
2024-09-01,MT,Middle,Washing Machine,Front load,26.0,0.0,0.0,26.0,0.11499582
2024-09-01,MT,Middle,Washing Machine,Top load,132.0,0.0,0.0,132.0,0.390012553
2024-09-01,MT,Middle,Television,Small size,4.0,0.0,0.0,4.0,0.017425456
2024-09-01,MT,Middle,Television,Large size,4.0,0.0,5.0,-5.0,-0.02832818
2024-09-01,MT,Middle,Refrigerator,Multi doors,1.0,0.0,0.0,1.0,0.004497273
2024-09-01,MT,Middle,Refrigerator,Side by Side,51.0,0.0,0.0,51.0,0.530401274
2024-09-01,Retail,North,RAC,Inverter,15.0,2.0,0.0,9.0,0.069765456
2024-09-01,Retail,North,Others,Air purifier,8.0,0.0,0.0,0.0,0.011092454
2024-09-01,Retail,North,Washing Machine,Front load,8.0,0.0,0.0,3.0,0.040810182
2024-09-01,Retail,North,Washing Machine,Dryer Machine,9.0,0.0,0.0,4.0,0.049536366
2024-09-01,Retail,North,Washing Machine,Top load,5.0,0.0,0.0,0.0,0.013001544
2024-09-01,Retail,North,Television,Small size,2.0,0.0,0.0,1.0,0.005791818
2024-09-01,Retail,North,Television,Large size,5.0,0.0,0.0,1.0,0.030672726
2024-09-01,Retail,North,Refrigerator,Side by Side,1.0,0.0,0.0,0.0,0.007432
2024-09-01,Retail,South,RAC,Inverter,1.0,1.0,0.0,0.0,0.0
2024-09-01,Retail,South,Others,Air purifier,2.0,0.0,0.0,2.0,0.003027272
2024-09-01,Retail,South,Television,Small size,2.0,2.0,0.0,0.0,0.0
2024-09-01,Retail,Middle,Washing Machine,Front load,1.0,0.0,0.0,1.0,0.003854545
2024-09-01,Retail,Middle,Washing Machine,Dryer Machine,1.0,0.0,0.0,1.0,0.005236364
2024-08-01,GT,North,CAC,Others,205.0,0.0,0.0,205.0,4.293127274
2024-08-01,GT,North,RAC,Non Inverter,707.0,0.0,115.0,592.0,3.979669813
2024-08-01,GT,North,RAC,Inverter,7007.0,2388.0,283.0,4336.0,28.782000695
2024-08-01,GT,North,Others,Air purifier,5.0,5.0,0.0,0.0,0.0
2024-08-01,GT,North,Washing Machine,Dryer Machine,89.0,0.0,0.0,89.0,0.363090902
2024-08-01,GT,North,Washing Machine,Front load,2548.0,1.0,0.0,2547.0,13.460772899
2024-08-01,GT,North,Washing Machine,Dryer Machine,40.0,0.0,0.0,40.0,0.23636364
2024-08-01,GT,North,Washing Machine,Top load,3728.0,874.0,54.0,2800.0,10.043409382
2024-08-01,GT,North,Television,Small size,256.0,0.0,0.0,256.0,0.819636312
2024-08-01,GT,North,Television,Large size,1280.0,1.0,0.0,1279.0,6.874590737
2024-08-01,GT,North,Refrigerator,Multi doors,103.0,0.0,0.0,103.0,0.936363627
2024-08-01,GT,North,Refrigerator,Side by Side,242.0,0.0,0.0,242.0,1.914545451
2024-08-01,GT,South,CAC,Others,131.0,0.0,0.0,131.0,3.049772727
2024-08-01,GT,South,RAC,Non Inverter,65.0,0.0,0.0,65.0,0.42886365
2024-08-01,GT,South,RAC,Inverter,2392.0,521.0,0.0,1871.0,9.712591125
2024-08-01,GT,South,Washing Machine,Dryer Machine,40.0,0.0,0.0,40.0,0.162500015
2024-08-01,GT,South,Washing Machine,Front load,285.0,0.0,2.0,283.0,1.312909161
2024-08-01,GT,South,Washing Machine,Top load,340.0,0.0,0.0,340.0,1.03977274
2024-08-01,GT,South,Television,Small size,1029.0,0.0,0.0,1029.0,3.522727495
2024-08-01,GT,South,Television,Large size,256.0,2.0,0.0,254.0,1.399818167
2024-08-01,GT,South,Refrigerator,Multi doors,49.0,0.0,3.0,46.0,0.409636358
2024-08-01,GT,South,Refrigerator,Side by Side,85.0,0.0,1.0,84.0,0.684909078
2024-08-01,GT,Middle,CAC,Others,89.0,19.0,0.0,70.0,1.734981817
2024-08-01,GT,Middle,RAC,Non Inverter,20.0,0.0,0.0,20.0,0.084090905
2024-08-01,GT,Middle,RAC,Inverter,3557.0,1313.0,0.0,2244.0,10.717727696
2024-08-01,GT,Middle,Others,Air purifier,3.0,3.0,0.0,0.0,0.0
2024-08-01,GT,Middle,Washing Machine,Dryer Machine,7.0,0.0,0.0,7.0,0.029272726
2024-08-01,GT,Middle,Washing Machine,Front load,408.0,0.0,0.0,408.0,2.179090938
2024-08-01,GT,Middle,Washing Machine,Top load,630.0,189.0,0.0,441.0,1.631363699
2024-08-01,GT,Middle,Television,Small size,647.0,0.0,0.0,647.0,2.687636607
2024-08-01,GT,Middle,Refrigerator,Multi doors,19.0,0.0,0.0,19.0,0.172727271
2024-08-01,GT,Middle,Refrigerator,Side by Side,31.0,0.0,0.0,31.0,0.246590908
2024-07-01,GT,North,CAC,Others,482.0,44.0,0.0,438.0,9.027642825
2024-07-01,GT,North,RAC,Non Inverter,724.0,0.0,134.0,566.0,6.012545324
2024-07-01,GT,North,RAC,Inverter,24875.0,2364.0,529.0,21982.0,131.402636745
2024-07-01,GT,North,Washing Machine,Dryer Machine,25.0,0.0,0.0,25.0,0.101136375
2024-07-01,GT,North,Washing Machine,Front load,1246.0,0.0,320.0,882.0,4.068682078
2024-07-01,GT,North,Washing Machine,Dryer Machine,120.0,0.0,0.0,120.0,0.70909092
2024-07-01,GT,North,Washing Machine,Top load,1715.0,0.0,0.0,1715.0,4.99931816
2024-07-01,GT,North,Television,Small size,580.0,0.0,0.0,580.0,1.89818166
2024-07-01,GT,North,Television,Large size,630.0,0.0,0.0,630.0,3.857045505
2024-07-01,GT,North,Refrigerator,Bottom freezer,630.0,0.0,6.0,-6.0,-0.043090908
2024-07-01,GT,North,Refrigerator,Top freezer,630.0,0.0,3.0,-3.0,-0.016090908
2024-07-01,GT,North,Refrigerator,Multi doors,1106.0,0.0,0.0,1106.0,10.054545354
2024-07-01,GT,North,Refrigerator,Side by Side,1769.0,0.0,0.0,1769.0,14.321636194
2024-07-01,GT,South,CAC,Others,67.0,10.0,0.0,57.0,1.255399995
2024-07-01,GT,South,RAC,Non Inverter,100.0,0.0,0.0,100.0,0.3772727
2024-07-01,GT,South,RAC,Inverter,5747.0,1565.0,0.0,4182.0,21.13500068
2024-07-01,GT,South,Washing Machine,Front load,219.0,80.0,0.0,139.0,0.698590898
2024-07-01,GT,South,Washing Machine,Dryer Machine,120.0,100.0,0.0,20.0,0.116136365
2024-07-01,GT,South,Washing Machine,Top load,314.0,145.0,0.0,169.0,0.523727256
2024-07-01,GT,South,Television,Small size,1176.0,100.0,0.0,1076.0,3.148363716
2024-07-01,GT,South,Television,Large size,275.0,0.0,0.0,275.0,1.6056818
2024-07-01,GT,South,Refrigerator,Top freezer,275.0,0.0,2.0,-2.0,-0.011818182
2024-07-01,GT,South,Refrigerator,Multi doors,223.0,0.0,0.0,223.0,2.027272707
2024-07-01,GT,South,Refrigerator,Side by Side,255.0,0.0,0.0,255.0,2.089772665
2024-07-01,GT,Middle,CAC,Others,72.0,0.0,0.0,72.0,1.667981821
2024-07-01,GT,Middle,RAC,Non Inverter,220.0,0.0,0.0,220.0,2.53727266
2024-07-01,GT,Middle,RAC,Inverter,4499.0,1499.0,0.0,3000.0,20.109363811
2024-07-01,GT,Middle,Washing Machine,Front load,83.0,0.0,0.0,83.0,0.396681832
2024-07-01,GT,Middle,Washing Machine,Dryer Machine,3.0,0.0,0.0,3.0,0.016909091
2024-07-01,GT,Middle,Washing Machine,Top load,111.0,0.0,0.0,111.0,0.331272708
2024-07-01,GT,Middle,Television,Small size,20.0,0.0,0.0,20.0,0.06545454
2024-07-01,GT,Middle,Television,Large size,130.0,0.0,0.0,130.0,0.806590915
2024-07-01,GT,Middle,Refrigerator,Multi doors,57.0,0.0,0.0,57.0,0.518181813
2024-07-01,GT,Middle,Refrigerator,Side by Side,96.0,0.0,0.0,96.0,0.779181807
2024-07-01,MT,North,CAC,Others,8.0,0.0,0.0,8.0,0.153018183
2024-07-01,MT,North,RAC,Non Inverter,465.0,0.0,0.0,465.0,1.780975761
2024-07-01,MT,North,RAC,Inverter,2600.0,0.0,20.0,2580.0,16.994857801
2024-07-01,MT,North,Washing Machine,Dryer Machine,11.0,0.0,0.0,11.0,0.05251
2024-07-01,MT,North,Washing Machine,Front load,501.0,0.0,1.0,500.0,2.304697328
2024-07-01,MT,North,Washing Machine,Dryer Machine,11.0,0.0,0.0,11.0,0.072737272
2024-07-01,MT,North,Washing Machine,Top load,442.0,0.0,0.0,442.0,1.330625397
2024-07-01,MT,North,Television,Small size,285.0,0.0,0.0,285.0,1.19792734
2024-07-01,MT,North,Television,Large size,170.0,0.0,8.0,162.0,1.110497758
2024-07-01,MT,North,Refrigerator,Bottom freezer,170.0,0.0,2.0,-2.0,-0.008363636
2024-07-01,MT,North,Refrigerator,Side by Side,136.0,0.0,5.0,131.0,1.357489888
2024-07-01,MT,South,CAC,Others,3.0,0.0,0.0,3.0,0.064554545
2024-07-01,MT,South,RAC,Inverter,2994.0,0.0,30.0,2964.0,19.996642482
2024-07-01,MT,South,Washing Machine,Dryer Machine,97.0,0.0,0.0,97.0,0.440376
2024-07-01,MT,South,Washing Machine,Front load,470.0,0.0,4.0,466.0,2.022762456
2024-07-01,MT,South,Washing Machine,Dryer Machine,85.0,0.0,0.0,85.0,0.545938198
2024-07-01,MT,South,Washing Machine,Top load,480.0,0.0,4.0,476.0,1.468066419
2024-07-01,MT,South,Television,Small size,1685.0,0.0,1.0,1684.0,4.567732771
2024-07-01,MT,South,Television,Large size,1062.0,0.0,2.0,1060.0,5.788089911
2024-07-01,MT,South,Refrigerator,Mini,1062.0,0.0,1.0,-1.0,-0.002262
2024-07-01,MT,South,Refrigerator,Bottom freezer,1062.0,0.0,2.0,-2.0,-0.01453091
2024-07-01,MT,South,Refrigerator,Multi doors,1062.0,0.0,5.0,-5.0,-0.060946363
2024-07-01,MT,South,Refrigerator,Side by Side,292.0,0.0,2.0,290.0,2.954041305
2024-07-01,MT,Middle,CAC,Others,9.0,0.0,0.0,9.0,0.197186185
2024-07-01,MT,Middle,RAC,Non Inverter,15.0,0.0,1.0,14.0,0.065323822
2024-07-01,MT,Middle,RAC,Inverter,881.0,0.0,4.0,877.0,5.006793704
2024-07-01,MT,Middle,Washing Machine,Dryer Machine,3.0,0.0,0.0,3.0,0.013924
2024-07-01,MT,Middle,Washing Machine,Front load,14.0,0.0,0.0,14.0,0.062631456
2024-07-01,MT,Middle,Washing Machine,Dryer Machine,1.0,0.0,0.0,1.0,0.006538182
2024-07-01,MT,Middle,Washing Machine,Top load,34.0,0.0,0.0,34.0,0.105603273
2024-07-01,MT,Middle,Television,Small size,172.0,0.0,0.0,172.0,0.431889109
2024-07-01,MT,Middle,Television,Large size,106.0,0.0,0.0,106.0,0.572713589
2024-07-01,MT,Middle,Refrigerator,Side by Side,22.0,0.0,0.0,22.0,0.230342547
2024-07-01,Retail,North,RAC,Inverter,30.0,0.0,0.0,30.0,0.156172729
2024-07-01,Retail,North,Others,Air purifier,9.0,0.0,0.0,9.0,0.011145456
2024-07-01,Retail,North,Washing Machine,Dryer Machine,5.0,0.0,0.0,5.0,0.017454545
2024-07-01,Retail,North,Washing Machine,Front load,13.0,3.0,0.0,10.0,0.037163636
2024-07-01,Retail,North,Washing Machine,Top load,4.0,2.0,0.0,2.0,0.004681818
2024-07-01,Retail,North,Television,Small size,1.0,0.0,0.0,1.0,0.002772727
2024-07-01,Retail,North,Television,Large size,4.0,0.0,0.0,4.0,0.020254546
2024-07-01,Retail,North,Refrigerator,Side by Side,11.0,0.0,0.0,11.0,0.074327269
2024-07-01,Retail,South,RAC,Non Inverter,5.0,0.0,0.0,5.0,0.008413419
2024-07-01,Retail,South,RAC,Inverter,2.0,0.0,0.0,2.0,0.007836364
2024-07-01,Retail,South,Others,Indirect,8.0,0.0,0.0,8.0,0.005096728
2024-07-01,Retail,South,Others,Air purifier,10.0,6.0,0.0,4.0,0.003696872
2024-07-01,Retail,South,Others,Cooker,1.0,0.0,0.0,1.0,0.000578909
2024-07-01,Retail,South,Others,Cooker,1.0,0.0,0.0,1.0,0.000433455
2024-07-01,Retail,South,Others,Direct,3.0,0.0,0.0,3.0,0.001911273
2024-07-01,Retail,South,Washing Machine,Dryer Machine,1.0,0.0,0.0,1.0,0.001888
2024-07-01,Retail,South,Washing Machine,Front load,7.0,0.0,0.0,7.0,0.022242908
2024-07-01,Retail,South,Washing Machine,Top load,3.0,0.0,0.0,3.0,0.006829818
2024-07-01,Retail,South,Refrigerator,Mini,9.0,0.0,0.0,9.0,0.007886544
2024-07-01,Retail,South,Refrigerator,Bottom freezer,14.0,0.0,0.0,14.0,0.059595633
2024-07-01,Retail,South,Refrigerator,Top freezer,38.0,0.0,0.0,38.0,0.134415276
2024-07-01,Retail,South,Refrigerator,Multi doors,16.0,0.0,0.0,16.0,0.092947273
2024-07-01,Retail,South,Refrigerator,Side by Side,3.0,0.0,0.0,3.0,0.015666908
2024-07-01,Retail,Middle,RAC,Inverter,1.0,0.0,0.0,1.0,0.004372727
2024-07-01,Retail,Middle,Washing Machine,Front load,3.0,0.0,0.0,3.0,0.003405
2024-07-01,Retail,Middle,Television,Small size,1.0,0.0,0.0,1.0,0.003890909
2024-07-01,Retail,Middle,Television,Large size,2.0,0.0,0.0,2.0,0.022356363
2024-07-01,Retail,Middle,Refrigerator,Top freezer,11.0,0.0,0.0,11.0,0.014423182
2024-07-01,Retail,Middle,Refrigerator,Multi doors,3.0,0.0,0.0,3.0,0.01297909
2024-07-01,Retail,Middle,Refrigerator,Side by Side,2.0,0.0,0.0,2.0,0.005589546
